               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.042331,            0.014749,            0.003104,             0.73825,              0.6806,              0.7379,             0.38515,              0.0411,            0.010024,           0.0023391,            0.006733,            0.006733,            0.006733
                 101,            0.042233,            0.014864,           0.0031683,             0.73725,             0.68092,             0.73777,             0.38507,            0.041073,            0.010019,           0.0023398,              0.0067,              0.0067,              0.0067
                 102,            0.042136,             0.01471,           0.0032701,             0.73288,             0.68092,             0.73766,             0.38533,            0.041022,            0.010009,           0.0023355,            0.006667,            0.006667,            0.006667
                 103,            0.042358,            0.014677,           0.0032582,             0.73731,             0.67942,             0.73682,             0.38515,            0.041051,            0.010008,           0.0023521,            0.006634,            0.006634,            0.006634
                 104,            0.042221,            0.014698,           0.0031737,              0.7341,             0.68305,             0.73733,             0.38563,            0.041029,           0.0099966,           0.0023453,            0.006601,            0.006601,            0.006601
                 105,            0.042228,            0.014903,           0.0032427,             0.73526,             0.68158,             0.73761,             0.38579,             0.04098,           0.0099961,           0.0023295,            0.006568,            0.006568,            0.006568
                 106,            0.042302,            0.014861,           0.0031995,             0.73733,             0.68076,             0.73766,              0.3862,            0.040915,           0.0099857,           0.0023193,            0.006535,            0.006535,            0.006535
                 107,            0.042206,            0.014639,           0.0032606,             0.73685,              0.6809,             0.73782,              0.3861,             0.04089,           0.0099863,           0.0023198,            0.006502,            0.006502,            0.006502
                 108,            0.041991,            0.014727,           0.0031391,               0.738,             0.68092,             0.73855,             0.38619,            0.040894,           0.0099845,           0.0023299,            0.006469,            0.006469,            0.006469
                 109,            0.042082,            0.014804,           0.0032349,             0.74325,             0.67966,             0.73868,             0.38688,            0.040875,           0.0099791,           0.0023265,            0.006436,            0.006436,            0.006436
                 110,             0.04193,            0.014455,           0.0032767,             0.74616,             0.68124,             0.73999,             0.38721,            0.040896,           0.0099765,           0.0023247,            0.006403,            0.006403,            0.006403
                 111,            0.041803,            0.014678,           0.0031178,             0.74825,              0.6779,             0.74017,             0.38689,            0.040917,           0.0099712,           0.0023252,             0.00637,             0.00637,             0.00637
                 112,            0.041995,            0.014652,            0.003147,             0.74728,             0.67809,             0.73957,             0.38796,            0.040907,           0.0099671,           0.0023252,            0.006337,            0.006337,            0.006337
                 113,            0.041926,            0.014588,           0.0031624,             0.74738,             0.67872,             0.73935,             0.38859,            0.040909,           0.0099623,           0.0023278,            0.006304,            0.006304,            0.006304
                 114,            0.041921,            0.014736,           0.0030569,             0.74829,             0.67786,             0.74017,             0.38893,            0.040865,           0.0099554,           0.0023281,            0.006271,            0.006271,            0.006271
                 115,            0.041907,            0.014546,           0.0031073,             0.74856,             0.67615,             0.74014,             0.38936,            0.040843,           0.0099518,           0.0023233,            0.006238,            0.006238,            0.006238
                 116,            0.041696,            0.014692,           0.0031196,             0.74192,             0.68273,              0.7403,             0.38924,            0.040821,           0.0099507,           0.0023273,            0.006205,            0.006205,            0.006205
                 117,            0.041629,            0.014591,           0.0030661,             0.74336,             0.68245,             0.74123,              0.3899,            0.040775,           0.0099441,           0.0023311,            0.006172,            0.006172,            0.006172
                 118,            0.041492,            0.014542,           0.0030176,             0.74454,             0.67888,             0.74071,             0.38999,            0.040745,           0.0099405,           0.0023352,            0.006139,            0.006139,            0.006139
                 119,            0.041744,            0.014631,           0.0030282,             0.74441,             0.68125,             0.74091,             0.39012,             0.04074,           0.0099386,           0.0023386,            0.006106,            0.006106,            0.006106
                 120,            0.041466,            0.014433,           0.0030155,             0.75059,             0.68078,             0.74165,             0.39112,            0.040727,            0.009939,           0.0023375,            0.006073,            0.006073,            0.006073
                 121,            0.041419,             0.01463,           0.0030593,             0.74501,             0.68253,             0.74103,             0.39075,            0.040693,           0.0099364,           0.0023359,             0.00604,             0.00604,             0.00604
                 122,            0.041411,              0.0144,           0.0030448,             0.74515,             0.68408,             0.74156,             0.39118,            0.040693,           0.0099363,            0.002343,            0.006007,            0.006007,            0.006007
                 123,            0.041322,            0.014358,           0.0030307,             0.74376,             0.68668,             0.74162,             0.39112,            0.040677,           0.0099323,           0.0023507,            0.005974,            0.005974,            0.005974
                 124,            0.041388,            0.014542,           0.0030455,             0.74748,             0.68329,             0.74188,             0.39105,            0.040672,           0.0099289,            0.002352,            0.005941,            0.005941,            0.005941
                 125,             0.04113,            0.014422,           0.0030977,             0.74776,             0.68603,              0.7438,             0.39153,            0.040669,           0.0099242,           0.0023507,            0.005908,            0.005908,            0.005908
                 126,            0.041202,            0.014408,           0.0029448,             0.74812,              0.6856,             0.74346,             0.39161,            0.040663,           0.0099212,           0.0023491,            0.005875,            0.005875,            0.005875
                 127,            0.041215,            0.014589,           0.0031373,             0.74653,              0.6869,              0.7432,             0.39218,            0.040663,           0.0099189,           0.0023484,            0.005842,            0.005842,            0.005842
                 128,             0.04115,             0.01443,           0.0030479,             0.74997,             0.68629,             0.74388,             0.39249,            0.040668,           0.0099151,           0.0023488,            0.005809,            0.005809,            0.005809
                 129,            0.041355,            0.014456,           0.0031305,             0.74917,             0.68705,             0.74419,             0.39224,            0.040669,           0.0099126,           0.0023471,            0.005776,            0.005776,            0.005776
                 130,            0.041128,            0.014448,           0.0030732,             0.75186,             0.68334,             0.74353,             0.39229,            0.040656,           0.0099104,           0.0023479,            0.005743,            0.005743,            0.005743
                 131,            0.041249,            0.014445,           0.0029757,             0.75241,             0.68333,             0.74407,             0.39237,            0.040652,           0.0099064,           0.0023478,             0.00571,             0.00571,             0.00571
                 132,            0.040997,             0.01428,           0.0030555,             0.75276,             0.68424,             0.74352,             0.39268,            0.040632,           0.0099046,            0.002349,            0.005677,            0.005677,            0.005677
                 133,            0.041008,            0.014369,           0.0030856,             0.75144,             0.68636,             0.74354,             0.39333,            0.040624,            0.009903,           0.0023457,            0.005644,            0.005644,            0.005644
                 134,            0.040983,            0.014361,           0.0030676,             0.75221,             0.68607,             0.74238,             0.39367,            0.040607,           0.0099009,            0.002341,            0.005611,            0.005611,            0.005611
                 135,            0.040957,            0.014394,           0.0028949,             0.75043,             0.68718,              0.7429,             0.39357,            0.040594,           0.0098986,           0.0023373,            0.005578,            0.005578,            0.005578
                 136,            0.040729,            0.014306,            0.002972,             0.75058,             0.68664,               0.742,             0.39376,             0.04057,           0.0098964,           0.0023346,            0.005545,            0.005545,            0.005545
                 137,            0.040701,            0.014426,           0.0028882,              0.7486,             0.68703,             0.74255,             0.39348,            0.040554,           0.0098948,           0.0023363,            0.005512,            0.005512,            0.005512
                 138,            0.040742,            0.014365,           0.0030096,             0.74932,             0.68696,             0.74216,             0.39378,            0.040552,           0.0098918,           0.0023381,            0.005479,            0.005479,            0.005479
                 139,            0.040691,              0.0143,           0.0031102,             0.74991,             0.68755,             0.74331,             0.39413,            0.040545,           0.0098899,           0.0023376,            0.005446,            0.005446,            0.005446
                 140,            0.040852,            0.014356,           0.0028588,             0.74999,             0.68531,              0.7429,             0.39415,            0.040536,           0.0098867,           0.0023376,            0.005413,            0.005413,            0.005413
                 141,            0.040535,              0.0144,           0.0029535,             0.75095,              0.6852,              0.7431,             0.39416,            0.040531,            0.009885,           0.0023393,             0.00538,             0.00538,             0.00538
                 142,            0.040588,            0.014165,           0.0029821,             0.75234,             0.68466,             0.74343,             0.39456,            0.040521,           0.0098838,           0.0023383,            0.005347,            0.005347,            0.005347
                 143,            0.040583,            0.014075,           0.0029748,             0.75327,             0.68516,             0.74301,             0.39481,            0.040514,            0.009882,           0.0023396,            0.005314,            0.005314,            0.005314
                 144,            0.040732,            0.014286,           0.0029275,             0.75232,             0.68514,             0.74292,             0.39505,            0.040501,            0.009879,           0.0023393,            0.005281,            0.005281,            0.005281
                 145,            0.040388,            0.014233,            0.002876,             0.75244,             0.68344,             0.74255,              0.3949,             0.04049,           0.0098763,           0.0023409,            0.005248,            0.005248,            0.005248
                 146,            0.040437,            0.014134,           0.0030378,             0.75428,             0.68359,               0.743,              0.3951,            0.040479,           0.0098738,           0.0023419,            0.005215,            0.005215,            0.005215
                 147,            0.040364,            0.014245,            0.002903,             0.75441,             0.68264,             0.74287,             0.39531,            0.040473,           0.0098707,           0.0023419,            0.005182,            0.005182,            0.005182
                 148,            0.040458,            0.014181,           0.0029731,             0.75567,             0.68248,             0.74322,             0.39537,             0.04047,           0.0098671,           0.0023418,            0.005149,            0.005149,            0.005149
                 149,            0.040442,            0.014329,           0.0028448,              0.7549,             0.68455,             0.74393,             0.39538,            0.040462,           0.0098643,           0.0023406,            0.005116,            0.005116,            0.005116
                 150,            0.040294,             0.01419,           0.0029476,             0.75465,              0.6845,             0.74422,             0.39566,            0.040455,           0.0098626,            0.002341,            0.005083,            0.005083,            0.005083
                 151,            0.040136,            0.014125,            0.002801,             0.75191,             0.68723,             0.74414,             0.39535,            0.040447,           0.0098583,           0.0023409,             0.00505,             0.00505,             0.00505
                 152,            0.040125,            0.014159,            0.002826,             0.75154,             0.68738,              0.7441,             0.39533,            0.040438,           0.0098557,           0.0023402,            0.005017,            0.005017,            0.005017
                 153,            0.040153,            0.014076,            0.002908,             0.75128,             0.68655,             0.74406,             0.39553,            0.040437,           0.0098522,           0.0023391,            0.004984,            0.004984,            0.004984
                 154,            0.040066,            0.014162,           0.0028669,             0.75153,             0.68655,              0.7443,             0.39579,            0.040439,           0.0098493,           0.0023378,            0.004951,            0.004951,            0.004951
                 155,            0.039992,               0.014,           0.0029091,             0.75102,             0.68737,             0.74427,             0.39622,            0.040435,           0.0098451,           0.0023387,            0.004918,            0.004918,            0.004918
                 156,            0.040047,            0.014119,           0.0028898,             0.75004,             0.68793,             0.74381,             0.39641,            0.040426,           0.0098403,           0.0023385,            0.004885,            0.004885,            0.004885
                 157,            0.039982,            0.013983,           0.0028557,             0.75083,             0.68775,             0.74402,             0.39651,             0.04042,           0.0098379,           0.0023383,            0.004852,            0.004852,            0.004852
                 158,            0.039822,            0.014159,           0.0028011,             0.75038,             0.68906,             0.74496,             0.39671,            0.040414,           0.0098342,            0.002339,            0.004819,            0.004819,            0.004819
                 159,            0.040085,            0.014167,           0.0028043,             0.74927,             0.68915,             0.74398,             0.39643,             0.04041,           0.0098306,           0.0023408,            0.004786,            0.004786,            0.004786
